ID	File	Speaker	Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	really	FileSpeaker
40525	DPC060	VV	annoyed	PAKEHA	Woman	50+	NoUniversity	ENGLISH	0.04227	Predicative	NoPrime	1	HumanPropensity	NonEmotional	other	DPC060VV
40547	DPC060	VV	nice	PAKEHA	Woman	50+	NoUniversity	ENGLISH	0.38039	Attributive	NoPrime	2.39940026944388	Value	NonEmotional	other	DPC060VV
40559	DPC060	JM	young	PAKEHA	Woman	50+	NoUniversity	ENGLISH	0.38039	Attributive	NoPrime	0.463180855551908	Age	PositiveEmotional	other	DPC060JM
40563	DPC060	WC	young	PAKEHA	Woman	40-49	University	ENGLISH	0.41042	Attributive	Prime	1.21388049451544	Age	PositiveEmotional	other	DPC060WC
40653	DPC061	BW	correct	OTHER	Woman	50+	NoUniversity	ENGLISH	0.05198	Attributive	NoPrime	-2.68563901451493	Value	NonEmotional	other	DPC061BW
40698	DPC061	AN	first	PAKEHA	Woman	50+	NoUniversity	ENGLISH	1.63721	Attributive	NoPrime	1	Position	NonEmotional	other	DPC061AN
40837	DPC061	AN	little	PAKEHA	Woman	50+	NoUniversity	ENGLISH	2.26091	Predicative	NoPrime	-2.70418782951293	Dimension	NonEmotional	other	DPC061AN
40838	DPC061	AN	little	PAKEHA	Woman	50+	NoUniversity	ENGLISH	2.26091	Predicative	Prime	-3.66356164612965	Dimension	NonEmotional	other	DPC061AN
40916	DPC062	AL	anti	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.01885	Attributive	NoPrime	-3.66356164612965	Other	NonEmotional	really	DPC062AL
40972	DPC062	AL	bad	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	1.22537	Attributive	NoPrime	-3.66356164612965	Value	NegativeEmotional	other	DPC062AL
41144	DPC062	AL	bad	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	1.22537	Predicative	NoPrime	1.33483660471777	Value	NegativeEmotional	other	DPC062AL
41153	DPC062	AL	amazing	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.39589	Attributive	NoPrime	1	Value	NonEmotional	other	DPC062AL
41174	DPC062	AL	bad	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	1.22537	Attributive	NoPrime	-1.09898464683609	Value	NegativeEmotional	really	DPC062AL
41236	DPC063	MR	hard	PAKEHA	Man	50+	University	ENGLISH	0.47619	Predicative	NoPrime	1.13555130830051	PhysicalProperty	NonEmotional	other	DPC063MR
41239	DPC063	MR	hard	PAKEHA	Man	50+	University	ENGLISH	0.47619	Predicative	Prime	-0.567986077828472	PhysicalProperty	NonEmotional	other	DPC063MR
41329	DPC063	FN	tired	PAKEHA	Woman	50+	University	ENGLISH	0.4386	Attributive	NoPrime	-1.92659765542819	HumanPropensity	NegativeEmotional	other	DPC063FN
41354	DPC063	FN	good	PAKEHA	Woman	50+	University	ENGLISH	2.19298	Attributive	NoPrime	-3.66356164612965	Value	PositiveEmotional	really	DPC063FN
41364	DPC063	FN	upset	PAKEHA	Woman	50+	University	ENGLISH	0.4386	Attributive	NoPrime	-2.94301314315155	HumanPropensity	NegativeEmotional	other	DPC063FN
41432	DPC063	MR	decent	PAKEHA	Man	50+	University	ENGLISH	0.2381	Predicative	NoPrime	1.79168105167367	HumanPropensity	PositiveEmotional	other	DPC063MR
41723	DPC064	MQ	late	PAKEHA	Man	20-29	University	ENGLISH	0.15082	Attributive	NoPrime	-3.66356164612965	Other	NegativeEmotional	other	DPC064MQ
41747	DPC064	FN	boring	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.08483	Predicative	NoPrime	1	Value	NegativeEmotional	other	DPC064FN
41816	DPC064	FN	funny	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	1.13112	Predicative	NoPrime	-1.36660717642203	HumanPropensity	NonEmotional	other	DPC064FN
41818	DPC064	FN	hard	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.75408	Predicative	NoPrime	-0.959450497101939	PhysicalProperty	NonEmotional	really	DPC064FN
41819	DPC064	FN	cool	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.98973	Attributive	Prime	-2.01657672135769	PhysicalProperty	PositiveEmotional	really	DPC064FN
41842	DPC064	MQ	nice	PAKEHA	Man	20-29	University	ENGLISH	1.72495	Attributive	NoPrime	-0.357267723959233	Value	NonEmotional	really	DPC064MQ
41965	DPC066	CH	proud	PAKEHA	Woman	30-39	University	ENGLISH	0.11818	Predicative	NoPrime	-2.23263512774935	HumanPropensity	PositiveEmotional	other	DPC066CH
42004	DPC066	CH	good	PAKEHA	Woman	30-39	University	ENGLISH	6.02718	Predicative	NoPrime	-3.66356164612965	Value	PositiveEmotional	really	DPC066CH
42006	DPC066	DN	hard	PAKEHA	Woman	30-39	University	ENGLISH	0.72878	Attributive	NoPrime	0.300564246752743	PhysicalProperty	NonEmotional	other	DPC066DN
42008	DPC066	CH	easy	PAKEHA	Woman	30-39	University	ENGLISH	0.17727	Attributive	Prime	-2.71566191506177	Difficulty	NonEmotional	really	DPC066CH
42213	DPC066	BT	wet	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	0.17727	Predicative	NoPrime	-2.9212736941019	PhysicalProperty	NonEmotional	really	DPC066BT
42227	DPC066	CH	clear	PAKEHA	Woman	30-39	University	ENGLISH	0.17727	Attributive	NoPrime	-1.38386443772964	PhysicalProperty	NonEmotional	really	DPC066CH
42273	DPC067	BU	poor	PAKEHA	Woman	40-49	NoUniversity	ENGLISH	0.14198	Attributive	NoPrime	-0.163903143785231	Value	NonEmotional	other	DPC067BU
42281	DPC067	AN	good	PAKEHA	Woman	50+	NoUniversity	ENGLISH	3.89813	Attributive	NoPrime	-2.90051170299731	Value	PositiveEmotional	really	DPC067AN
42296	DPC067	AN	ghastly	PAKEHA	Woman	50+	NoUniversity	ENGLISH	0.05198	Attributive	NoPrime	-3.04012233170298	Value	NegativeEmotional	other	DPC067AN
42379	DPC067	AN	extensive	PAKEHA	Woman	50+	NoUniversity	ENGLISH	0.02599	Predicative	NoPrime	1	Dimension	PositiveEmotional	other	DPC067AN
42380	DPC067	AN	long	PAKEHA	Woman	50+	NoUniversity	ENGLISH	0.85759	Predicative	NoPrime	-0.419670460224123	Dimension	NonEmotional	other	DPC067AN
42454	DPC067	AN	genuine	PAKEHA	Woman	50+	NoUniversity	ENGLISH	0.05198	Attributive	NoPrime	0.870395457308954	Value	PositiveEmotional	other	DPC067AN
42570	DPC068	II	great	OTHER	Man	20-29	University	ENGLISH	0.65039	Attributive	NoPrime	-1.02705109281555	Value	NonEmotional	really	DPC068II
42601	DPC068	II	artistic	OTHER	Man	20-29	University	ENGLISH	0.01885	Predicative	NoPrime	-2.69212297095237	HumanPropensity	PositiveEmotional	other	DPC068II
42611	DPC068	II	high	OTHER	Man	20-29	University	ENGLISH	0.19795	Attributive	NoPrime	-2.41391471583124	Position	NonEmotional	other	DPC068II
42672	DPC068	JM	easy	PAKEHA	Man	20-29	NoUniversity	ENGLISH	0.30163	Predicative	NoPrime	-0.918271435288042	Difficulty	NonEmotional	really	DPC068JM
42689	DPC068	II	interesting	OTHER	Man	20-29	University	ENGLISH	0.64097	Attributive	NoPrime	1	Value	PositiveEmotional	really	DPC068II
42746	DPC068	AG	sad	PAKEHA	Woman	20-29	University	ENGLISH	0.16024	Predicative	NoPrime	-3.66356164612965	HumanPropensity	NonEmotional	other	DPC068AG
42949	DPC069	AG	sorry	PAKEHA	Woman	20-29	University	ENGLISH	0.78235	Predicative	NoPrime	-3.66356164612965	HumanPropensity	NonEmotional	other	DPC069AG
43001	DPC069	II	unfriendly	OTHER	Man	20-29	University	ENGLISH	0.02828	Attributive	NoPrime	-1.84072751703456	HumanPropensity	NegativeEmotional	other	DPC069II
43101	DPC070	JM	nice	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	1.72495	Attributive	NoPrime	-1.14195403146064	Value	NonEmotional	other	DPC070JM
43133	DPC070	CR	yummy	PAKEHA	Woman	20-29	University	ENGLISH	0.10369	Attributive	NoPrime	-1.86257645315393	Value	NonEmotional	really	DPC070CR
43155	DPC070	SA	yummy	PAKEHA	Woman	20-29	University	ENGLISH	0.10369	Attributive	NoPrime	-2.40170951217687	Value	NonEmotional	really	DPC070SA
43198	DPC070	JM	good	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	6.89038	Attributive	NoPrime	-2.03361361203419	Value	PositiveEmotional	other	DPC070JM
43201	DPC070	CR	fast	PAKEHA	Woman	20-29	University	ENGLISH	0.0377	Attributive	NoPrime	-3.66356164612965	Speed	NonEmotional	really	DPC070CR
